Common Name,Family,GenusSpecies,Genus,Category,Wmax,Ymax,Lmax,Lengthmax type,Ym,Lm,Favg,Loffspring,,,,,,,,,,,Region,Sources
Franciscana dolphin,Pontoporiidae,Pontoporia blainvillei,Pontoporia,Cetacea,53000,21,177,TL,2.7,NA,1,77.5,,,,,,,,,,,Southwest Atlantic,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254964, https://doi.org/10.1016/B978-0-12-804327-1.00133-3"
Hector's dolphin,Delphinidae,Cephalorhynchus hectori,Cephalorhynchus,Cetacea,57000,19,130,TL,8,127,1,76.6,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254979, https://sealifebase.org/summary/Cephalorhynchus-hectori.html, 
https://doi.org/10.1139/z91-234"
Harbor porpoise,Phocoenidae,Phocoena phocoena,Phocoena,Cetacea,70000,20,200,TL,3.5,145,1,NA,,,,,,,,,,,Atlantic,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137117, https://doi.org/10.1016/B978-0-12-804327-1.00144-8, https://www.sealifebase.ca/summary/Phocoena-phocoena.html"
Northern right whale dolphin,Delphinidae,Lissodelphis borealis,Lissodelphis,Cetacea,116000,NA,230,TL,9.7,199.8,1,100,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254975, https://www.sealifebase.ca/summary/Lissodelphis-borealis.html, https://doi.org/10.1016/B978-0-12-804327-1.00216-8"
Irrawaddy dolphin,Delphinidae,Orcaella brevirostris,Orcaella,Cetacea,150000,NA,220,TL,NA,NA,1,NA,,,,,,,,,,,NA,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=148732, https://doi.org/10.1016/B978-0-12-804327-1.00161-8"
Rough-toothed dolphin,Delphinidae,Steno bredanensis,Steno,Cetacea,150000,36,280,TL,10,216,1,100,,,,,,,,,,,Japansese waters,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137110, https://www.sealifebase.ca/summary/Steno-bredanensis.html, https://doi.org/10.1016/B978-0-12-804327-1.00223-5"
Striped dolphin,Delphinidae,Stenella coeruleoalba,Stenella,Cetacea,156000,57.5,256,TL,8.5,218,1,NA,,,,,,,,,,,,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137107, https://doi.org/10.1016/B978-0-12-804327-1.00251-X, https://www.sealifebase.ca/summary/Stenella-coeruleoalba.html"
Dall's porpoise,Phocoenidae,Phocoenoides dalli,Phocoenoides,Cetacea,200000,NA,220,TL,5,179,1,100,,,,,,,,,,,Central- and Western North Pacific,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=254987, https://doi.org/10.1016/B978-0-12-804327-1.00004-2, https://www.sealifebase.ca/summary/Phocoenoides-dalli.html"
Fraser's dolphin,Delphinidae,Lagenodelphis hosei,Lagenodelphis ,Cetacea,210000,19,260,TL,6.5,,1,NA,,,,,,,,,,,,"https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137099, https://doi.org/10.1016/B978-0-12-804327-1.00134-5"
Common Dolphin,Delphinidae,Delphinus delphis,Delphinus,Cetacea,235000,30,235,TL,9,186.5,1,87,,,,,,,,,,,"Western Atlantic, Eastern Pacific","https://www.marinespecies.org/cetacea/aphia.php?p=taxdetails&id=137094, https://doi.org/10.1016/B978-0-12-804327-1.00095-9, https://doi.org/10.1139/z06-188"
